countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,,,530268,540811,551579,562576,573791,585230,596897,608795,620931,633307,645930,658804,671935,685326,698984,712913,727120,741609,756386,773658,793546,816179,841688,870210,899699,930186,961706,994293,1027983,1062814,1098824,1136054,1174544,1214337,1255478,1298011,1341985,1387447,1434448,1483054,1533320,1585304,1639062,1694657,1752135,1811562,1873003,1936527,2002203,2066448,2129124,2190086,2249181,2306249,2364764,2424761,2486279,2549355,2614029,2677183,2738718,2798533,2856522,2912576,2969729,3028000,3087412,3147988,3212623,3279664,3349182,3421253,3495955,3573367,3652493,3733371,3816040,3900540,3986910,4074267,4162611,4251945,4342271,4433590,4526829,4622029,4719231,4818477,4919810,5019176,5116462,5211554,5304334,5394679,5486564,5580013,5675054,5771714,5870020,5982554,5972878,6118741,6273221,6435030,6605400,6786083,6977026,7178108,7385695,7602946,7833788,8074800,8324221,8579358,8835933,9091017,9340245,9582092,9821309,10061684,10306509,10552565,10801631,11062667,11335200,11617957,11910081,12218924,12543894,12875017,13215709,13564596,13921034,14292864,14686459,15108141,15558747,16033107,16524616,17020144,17517060,18017470,18526708,19050074,19588706,20136886,20689060,21249178,21810542,22368652,22945152,23542522,24142448,24739420,25333250,25923540,26509416,27092604,27664304,28217208,28717728,29184140,29660216,30134806,30606454,31068834,31526414,31975812,32399270,32804024,33199988,33573872
Mali,,,1502290,1514726,1527123,1539479,1551879,1564323,1576810,1589340,1601915,1614533,1627196,1639902,1652653,1665449,1678289,1691173,1704103,1717077,1730096,1743860,1758383,1773682,1789773,1806672,1823677,1840790,1858010,1875339,1892776,1910323,1927981,1945748,1963627,1981618,1999722,2017938,2036269,2054713,2073273,2092368,2112010,2132209,2152976,2174322,2195827,2217493,2239322,2261312,2283467,2308568,2336699,2367948,2402403,2440153,2478443,2517280,2556671,2596624,2637148,2676623,2715007,2752252,2788312,2823138,2858344,2893931,2929905,2966270,2990000,3017566,3049048,3084530,3124097,3167835,3212184,3257155,3302755,3348994,3395879,3442723,3489516,3536247,3582907,3629485,3676668,3724465,3772883,3821930,3871616,3925124,3982561,4044030,4109642,4179506,4250557,4322817,4396305,4471042,4547050,4626148,4694920,4760165,4824835,4888112,4950995,5014683,5079263,5144680,5208918,5275378,5346797,5420248,5494850,5570468,5647381,5726385,5806572,5888494,5973764,6061765,6153586,6247884,6347159,6455258,6569275,6687296,6807651,6935341,7072941,7218082,7372590,7532866,7696350,7863941,8030108,8187658,8334593,8474335,8617480,8774126,8945030,9123965,9310571,9506515,9711802,9921096,10131913,10359310,10620471,10916998,11239103,11583825,11952660,12342167,12751997,13180556,13623541,14080916,14551122,15032645,15529183,16039734,16514689,17004038,17551824,18112910,18700108,19311356,19934304,20567430,21224042,21904990
Malta,,,160270,161240,162215,163196,164184,165177,166176,167181,168193,169210,170234,171264,172300,173342,174391,175446,176507,177575,178649,179730,180817,181911,183011,184118,185232,186353,187480,188614,189755,190903,192058,193220,194389,195564,196747,197938,199135,200340,201552,202771,203997,205231,206473,207722,208979,210243,211514,212794,214081,215376,216679,217990,219308,220635,221970,223313,224663,226022,227390,228410,229081,229401,229370,228985,228601,228217,227834,227452,227051,227043,227429,228212,229392,230974,232566,234169,235783,237409,239045,240913,243015,245357,247943,250776,253642,256540,259472,262437,265436,268639,272051,275677,279521,283589,287717,291904,296153,300463,304836,308685,291881,298201,304718,311425,317769,323606,328722,332607,335356,336972,337632,337127,335463,332905,329771,326409,322993,320158,318065,316463,315425,315103,315384,316204,317621,319626,322015,324653,327482,330476,333593,336625,339676,342891,346094,349122,352095,355177,358450,361913,365396,368676,371892,375257,378568,381860,385271,388843,392487,395993,399212,402163,404708,406926,408805,410217,411204,412091,413407,415509,418758,423577,429912,437531,446449,456585,467717,479507,491590,503646,515364,526751
Mauritania,,,290798,290121,290229,291114,292001,292891,293783,294678,295575,296475,297377,298282,299189,300099,301011,301925,302843,303762,304684,305670,306721,307835,309015,310261,311511,312766,314025,315290,316559,317897,319304,320781,322328,323946,325571,327205,328847,330496,332153,333886,335694,337579,339542,341582,343634,345698,347775,349863,351964,354219,356632,359203,361934,364829,367746,370686,373650,376636,379646,382448,385040,387418,389581,391525,393478,395441,397413,399395,401791,404934,408838,413520,418995,425280,431659,438134,444706,451377,458148,464925,471709,478498,485290,492084,498973,505958,513042,520224,527508,535327,543697,552633,562153,572272,582573,593059,603734,614601,625664,637926,658563,673332,688710,704649,721236,738585,756734,775706,795601,816489,838486,861667,885944,911296,937830,965627,994709,1025000,1056403,1088843,1122207,1156370,1191380,1227363,1264361,1302440,1341612,1381337,1421787,1463522,1506704,1551693,1598346,1646348,1695676,1746270,1798015,1851100,1905852,1955044,2006035,2066307,2147536,2237070,2315198,2380345,2428830,2484287,2550504,2620616,2695018,2761830,2821709,2883328,2946583,3012363,3081228,3153519,3233342,3322625,3419462,3524250,3636122,3742965,3843181,3946225,4051896,4160018,4270717,4383853,4498605,4614981
Mauritius,,,182748,192674,203588,215569,228254,241686,255908,270967,286912,300234,310765,318330,322740,323799,324860,325926,326994,328067,329142,330596,332433,334658,337275,340289,343330,346399,349495,352618,355769,358534,360908,362885,364462,365632,366806,367984,369165,370350,371540,372507,373252,373774,374072,374145,374218,374291,374365,374438,374511,374544,374536,374487,374399,374269,374140,374011,373882,373752,373623,373675,373908,374322,374918,375697,376477,377258,378041,378826,379539,380447,381552,382856,384358,386062,387773,389491,391217,392951,394693,396601,398677,400924,403342,405934,408543,411169,413811,416471,419147,422480,426482,431167,436547,442638,448814,455076,461425,467863,474391,482827,525445,540608,555896,569946,583047,596869,611537,626903,642899,659736,676690,693252,709824,726254,742494,758632,774468,789584,803770,817204,830125,842417,854043,865378,876746,888293,900173,912581,925843,940038,954876,969806,984181,998001,1011951,1025777,1039034,1051817,1064328,1076973,1090296,1104267,1118719,1133260,1147165,1160218,1172545,1184265,1194879,1205416,1215930,1225272,1233974,1242343,1250388,1258050,1264777,1270591,1275691,1279868,1283347,1286239,1288753,1290698,1292112,1293159,1293909,1294743,1295386,1296284,1297830,1298922
Mexico,Americas,https://public.flourish.studio/country-flags/svg/mx.svg,7688866,7778189,7877313,7986441,8097081,8209252,8322977,8438277,8555173,8656717,8742630,8812627,8866421,8903721,8941176,8978788,9016558,9054486,9092573,9144829,9211475,9292736,9388839,9500014,9612506,9726329,9841498,9958031,10075943,10195232,10315914,10438005,10561522,10686481,10812918,10940851,11070296,11201271,11333796,11474513,11623615,11781298,11947763,12123212,12301236,12481874,12665163,12851143,13039853,13217454,13383654,13538157,13680660,13810856,13942289,14074971,14208916,14344134,14480638,14587552,14664634,14711636,14728311,14714406,14700514,14686634,14672765,14658909,14649106,14683139,14761605,14885111,15054271,15269709,15488231,15709880,15934701,16162739,16394041,16638808,16897410,17170223,17457634,17760035,18067674,18380643,18699032,19022937,19352452,19754399,20232300,20789814,21430746,22159047,22912098,23690741,24495845,25328310,26189065,27061239,27600140,28328022,29061668,29822098,30616898,31452140,32325944,33239524,34180100,35179436,36268048,37439316,38683280,39982116,41333880,42737996,44180444,45656964,47170340,48714396,50289304,51897680,53543432,55228200,56945880,58691880,60452544,62262508,64124000,65972908,67705184,69233768,70656784,72080312,73489648,74872008,76224360,77553504,78892016,80233752,81720424,83351600,84993160,86648440,88314416,89969568,91586560,93183088,94767288,96334808,97873448,99394288,100917080,102429344,103945816,105442400,106886792,108302976,109684496,111049424,112532400,114150480,115755912,117290680,118755888,120149896,121519224,122839256,124013864,125085312,125998296,126705136
Moldova,,,937285,945776,954343,962989,971712,980515,989397,998360,1007404,1016529,1025738,1035030,1044406,1053866,1063413,1073046,1082766,1092575,1102472,1112459,1122536,1132705,1142965,1153319,1163766,1174308,1184946,1195679,1206510,1217440,1228468,1239596,1250824,1262155,1273588,1285125,1296766,1308512,1320365,1332325,1344394,1356572,1368860,1381259,1393771,1406396,1419136,1431991,1444962,1458050,1471258,1484585,1498032,1511601,1525294,1539110,1553051,1567119,1581314,1595637,1610091,1624675,1639391,1654241,1669225,1684345,1699601,1714996,1730734,1746616,1762644,1778819,1795143,1811616,1828241,1845018,1861949,1879035,1896278,1913680,1931241,1948963,1966848,1984897,2003111,2021493,2040044,2058764,2077657,2096723,2115964,2135381,2154976,2174752,2194709,2214849,2235173,2255685,2276384,2304739,2370314,2430564,2494784,2563599,2637040,2714716,2795867,2879662,2964844,3049762,3133275,3213990,3289334,3358172,3420202,3476796,3529796,3579248,3625658,3669487,3711141,3751344,3790994,3831281,3872285,3913593,3954574,3994203,4031779,4067633,4103239,4139691,4178059,4218424,4259960,4300695,4343290,4388484,4428712,4459386,4480206,4490929,4494901,4493699,4482513,4461238,4430199,4393794,4353535,4303942,4251571,4200500,4147644,4093984,4046998,4001380,3942748,3876847,3812420,3749496,3678186,3595135,3507197,3416532,3338338,3277390,3225125,3180515,3141839,3109496,3084848,3061509
Mongolia,Asia,,647952,648852,649752,650654,651557,652461,653367,654273,655181,656091,657001,657913,658826,659740,660655,661572,662490,663409,664330,665256,666189,667128,668073,669024,669976,670930,671885,672842,673799,674759,675719,676681,677644,678609,679575,680542,681510,682480,683452,684425,685399,686374,687351,688329,689309,690290,691272,692256,693241,694500,696032,697841,699926,702290,704662,707041,709429,711825,714229,716391,718312,719989,721422,722609,723798,724988,726181,727376,728673,729972,731274,732578,733884,735193,736504,737817,739133,740451,741772,743095,744420,745747,747077,748409,749744,751081,752420,753762,755106,756453,757802,759153,760507,761863,763222,764583,765946,767312,768681,772955,781264,793058,805035,817524,830704,845000,864384,888964,915704,945444,977906,1011504,1045316,1075886,1104021,1134072,1165753,1198202,1230411,1261889,1293885,1327784,1363842,1402316,1443134,1485696,1529093,1572522,1615862,1657457,1697787,1739225,1781808,1825782,1871654,1919755,1969916,2021507,2073778,2120835,2161440,2200077,2236503,2270313,2301514,2330339,2357038,2381777,2405156,2428500,2450988,2472612,2494622,2516461,2537955,2559258,2581245,2605647,2633896,2666718,2702527,2743946,2792354,2845160,2902826,2964756,3029559,3096033,3163994,3232435,3294340,3347782
Montenegro,,,202257,205393,208577,211811,215095,218430,221816,225255,228747,232294,235895,239552,243266,247037,250867,254757,258706,262717,266790,270926,275126,279391,283722,288121,292588,297123,301730,306407,311157,315981,320879,325854,330905,336035,341244,346534,351906,357362,362901,368527,374240,380041,385932,391915,397990,404160,410425,416787,423248,429809,436471,443237,450108,457085,464170,471366,478672,486092,493627,499002,502201,503205,501997,498557,495141,491749,488379,485033,481821,478631,475462,472314,469186,466080,462993,459928,456882,453857,450852,447867,444901,441955,439029,436122,433234,430366,427516,424685,421873,419080,416305,413549,410810,408090,405388,402704,400037,397389,394757,393869,402266,409637,418821,427834,434973,441386,447687,453970,460327,466738,473055,479342,485549,491573,497449,503202,508911,514511,519972,525266,530271,535488,541275,547221,553233,559283,565348,571417,577418,583341,589334,594074,596976,599337,601826,604622,607633,610820,614277,617866,621450,624961,627669,629560,630973,632066,633014,633610,633912,633728,633330,633062,632745,632356,632550,632885,632551,631931,631475,631187,631048,631801,633053,633951,634301,633969,633264,632445,631459,630403,629058,627856
Morocco,Africa,,2861280,2880727,2905018,2934209,2963694,2993475,3023555,3053938,3084626,3115622,3146929,3178551,3210491,3242752,3275337,3308249,3341493,3375070,3408984,3443239,3477839,3512786,3548085,3583738,3619749,3656122,3692861,3729969,3767450,3805307,3843545,3882167,3921177,3960579,4000377,4040574,4081176,4122186,4163608,4205147,4246802,4288572,4330454,4372447,4414846,4457657,4500883,4544529,4588597,4639210,4696531,4760725,4831961,4910411,4990135,5071153,5153487,5237157,5322186,5396250,5459112,5510526,5550247,5578021,5605935,5633988,5662181,5690516,5719290,5755167,5798260,5848683,5906553,5971986,6038145,6105036,6172668,6241050,6310189,6388618,6476592,6574369,6682215,6800399,6920674,7043076,7167643,7294412,7423424,7550623,7675916,7799206,7920394,8039380,8160153,8282740,8407169,8533467,8661663,8812210,8946213,9188598,9438851,9696707,9963633,10242171,10531695,10831992,11138244,11452438,11769782,12081717,12404766,12726695,13044255,13381884,13738507,14109759,14490077,14876983,15274357,15677305,16081446,16489462,16902386,17325328,17756514,18206480,18679864,19167660,19678446,20208270,20746774,21287382,21817268,22335078,22824446,23279934,23720600,24148104,24570816,24988088,25400676,25806782,26201554,26599054,26999094,27397118,27791828,28176992,28554420,28930100,29301820,29661272,30033124,30431898,30833024,31232634,31634996,32042880,32464866,32903708,33352166,33803528,34248608,34680456,35107272,35528116,35927516,36304408,36688768,37076588
Mozambique,,,4676306,4722704,4744163,4740058,4735954,4731849,4727745,4723640,4719535,4714488,4708500,4701577,4693720,4684934,4676161,4667401,4658653,4649919,4641197,4631562,4621020,4609576,4597234,4584000,4570801,4557636,4544506,4531409,4518348,4508018,4500409,4495513,4493319,4493817,4494312,4494803,4495291,4495775,4496255,4492231,4483728,4470770,4453385,4431596,4409911,4388328,4366847,4345468,4324190,4299584,4271700,4240587,4206295,4168871,4131777,4095009,4058566,4022443,3986639,3954285,3925334,3899736,3877443,3858409,3839466,3820612,3801847,3783172,3768039,3767171,3780723,3808855,3851727,3909503,3968145,4027667,4088082,4149404,4211645,4273952,4336314,4398719,4461156,4523612,4586942,4651160,4716276,4782304,4849256,4921133,4998077,5080231,5167742,5260761,5355455,5451853,5549987,5649887,5751585,5854611,5920221,6002285,6082380,6159692,6237199,6318912,6404165,6492819,6580335,6675658,6788377,6917531,7060376,7209810,7363643,7524155,7689640,7859473,8035532,8217932,8411678,8622889,8860587,9123676,9404229,9703732,10019210,10363576,10741129,11127851,11413590,11640020,11901834,12163331,12426220,12680070,12909798,12964793,12956776,13087606,13303461,13561180,13816886,14206253,14912879,15594829,16079560,16521724,16923202,17337896,17768510,18220724,18694948,19186758,19694412,20211124,20735990,21280520,21845572,22436660,23073732,23760424,24487614,25251738,26038704,26843252,27696500,28569448,29423882,30285602,31178242,32077074
Myanmar,,,3932075,3941980,3951910,3961863,3971834,3981824,3991832,4001858,4011902,4021964,4032045,4042143,4052260,4062395,4072548,4082719,4092908,4103115,4113341,4109923,4093037,4062856,4019551,3963290,3907810,3853099,3799148,3745945,3693480,3702610,3776681,3919290,4134302,4425864,4737979,5072095,5429762,5812639,6222503,6603162,6950909,7261730,7531276,7754841,7985028,8222031,8466052,8717298,8975983,9213835,9429855,9623009,9792226,9936399,10082675,10231085,10381658,10534425,10689420,10831501,10960381,11075767,11177360,11264859,11353020,11441848,11531347,11621521,11729220,11840482,11955367,12073934,12196245,12322363,12449784,12578523,12708594,12840009,12972784,13115234,13267571,13430012,13602775,13786084,13971863,14160146,14350966,14544357,14740355,14947253,15165332,15394879,15636187,15889555,16147027,16408672,16674557,16944750,17219321,17497600,17731816,18053722,18391996,18749632,19126432,19522788,19935520,20363516,20801172,21252048,21720702,22203106,22699698,23210688,23737822,24286880,24854706,25440032,26044118,26659482,27284118,27914954,28551956,29165356,29751938,30344282,30941380,31554606,32185602,32821776,33465782,34110096,34742592,35424268,36159844,36881024,37572344,38233172,38868272,39489416,40099556,40680540,41237808,41788304,42337112,42880188,43423376,43972060,44516188,45041644,45538340,46014828,46480236,46924296,47338444,47724472,48088276,48445652,48729480,49015836,49390988,49794528,50218196,50648336,51072436,51483956,51892352,52288344,52666016,53040212,53423200,53798088
Namibia,,,119203,119391,120146,121466,122800,124149,125513,126891,128285,129693,131118,132557,134013,135484,136971,138475,139995,141531,143084,144654,146242,147846,149469,151108,152766,154442,156136,157848,159579,161329,163098,164887,166695,168522,170370,172237,174125,176034,177963,179913,181885,183878,185892,187929,189988,192069,194173,196300,198450,200880,203599,206614,209934,213565,217260,221018,224841,228730,232686,236665,240666,244690,248735,252802,256935,261135,265404,269742,273924,278482,283429,288777,294540,300730,307050,313504,320092,326820,333688,340644,347686,354816,362034,369342,376797,384402,392161,400077,408152,416306,424539,432850,441239,449707,458337,467132,476097,485233,494545,504256,514785,520842,527160,533762,540490,547433,554705,562460,570851,580043,590188,601434,613816,627367,642057,657894,674821,693068,712434,732889,754475,777008,800615,824927,850094,876579,901846,926115,942022,957343,975998,987404,1005527,1033091,1061999,1093318,1127991,1165435,1207959,1288077,1369016,1415624,1461694,1509848,1558459,1605382,1650077,1693248,1735959,1778280,1819148,1856406,1888531,1915432,1939405,1962874,1986568,2011492,2038556,2067928,2099275,2132343,2167474,2204517,2243008,2282709,2323351,2364540,2405682,2446648,2489099,2530150
Nepal,,,4352082,4366372,4380713,4395107,4409547,4424032,4438564,4453143,4467768,4482439,4497158,4511923,4526736,4541595,4556503,4571458,4586460,4601510,4616609,4632852,4650247,4668804,4688530,4709432,4730426,4751513,4772692,4793964,4815329,4836788,4858341,4879989,4901732,4923570,4945503,4967533,4989660,5011884,5034205,5053297,5069145,5081732,5091041,5097055,5103074,5109099,5115130,5121166,5127207,5138195,5154160,5175137,5201157,5232255,5263538,5295005,5326659,5358501,5390531,5415230,5432566,5442505,5445014,5440060,5435109,5430161,5425216,5420273,5418392,5416513,5414633,5412755,5410877,5408999,5407123,5405247,5403372,5401497,5399623,5398124,5397000,5396251,5395876,5395876,5395876,5395876,5395876,5395876,5395876,5448186,5555340,5719999,5944948,6233110,6535240,6852015,7184144,7532373,7897481,8215464,8398952,8579837,8759893,8936491,9110779,9284902,9458905,9633244,9805028,9980683,10167941,10365144,10570725,10782719,11002820,11232952,11470202,11715586,11970408,12231875,12501288,12774872,13052224,13335966,13626308,13925542,14230741,14550429,14888778,15238564,15600443,15969796,16347124,16740666,17141612,17540576,17936924,18326202,18720746,19145078,19616528,20130774,20702138,21267356,21794756,22305572,22783972,23249422,23703330,24143162,24559504,24956070,25332178,25682912,26003970,26285112,26518974,26713652,26881542,27026952,27161572,27266398,27330696,27381558,27462110,27610328,27861186,28183424,28506718,28832500,29348626,30034988
Netherlands,,,3097727,3119005,3140287,3161572,3183001,3204576,3226296,3248164,3270180,3293397,3317831,3343500,3370421,3398611,3427036,3455699,3484602,3513747,3543135,3574875,3609009,3645581,3684636,3726219,3768272,3810799,3853805,3897298,3941280,3985887,4031125,4077004,4123532,4170718,4218443,4266715,4315540,4364923,4414870,4466375,4519467,4574177,4630535,4688573,4747338,4806840,4867088,4928091,4989858,5054019,5120625,5189731,5261391,5335661,5410979,5487360,5564819,5643372,5723033,5804303,5887210,5971785,6058059,6146063,6235345,6325924,6417818,6511048,6606332,6702404,6799265,6896919,6995368,7094616,7195271,7297354,7400886,7505887,7612377,7716885,7819340,7919671,8017805,8113668,8210678,8308847,8408190,8508720,8610453,8715425,8823701,8935349,9050435,9169029,9289176,9410898,9534215,9659148,9785718,9913350,10093555,10226297,10361806,10497301,10631384,10767911,10905351,11046127,11191758,11341766,11493124,11647374,11803461,11958417,12117832,12275797,12426790,12576971,12727200,12881251,13037686,13186716,13324182,13447575,13560532,13663970,13760114,13855560,13949415,14040286,14130383,14217323,14296533,14369651,14441930,14515705,14592526,14675302,14762321,14850230,14944550,15046578,15150688,15251088,15349481,15446670,15538617,15629912,15722601,15812491,15899138,15981630,16057042,16127574,16196036,16261834,16325679,16391232,16460775,16536200,16617121,16701470,16785296,16867352,16954080,17041110,17124512,17207204,17286042,17363260,17434562,17501696
New Zealand,,,90807,93875,97295,101087,105027,109120,113373,117792,122383,128293,135668,144665,155458,168235,182063,197027,213221,230746,249711,268927,288338,307876,327464,347014,367731,389684,412949,437602,463727,487792,509585,528877,545427,558972,572854,587081,601661,616603,631916,646899,661529,675784,689639,703071,716764,730724,744956,759465,774257,790405,807964,826989,847539,869673,892385,915690,939604,964142,989321,1013317,1036066,1057504,1077564,1096177,1115112,1134373,1153967,1173900,1194253,1215286,1237017,1259462,1282642,1306574,1330954,1355788,1381085,1406855,1433105,1457030,1478559,1497623,1514148,1528061,1542102,1556272,1570572,1585003,1599567,1616326,1635332,1656639,1680300,1706371,1732846,1759732,1787035,1814762,1842919,1873969,1911611,1952129,1998954,2048963,2096338,2140979,2186348,2235324,2286562,2335013,2381191,2431619,2486311,2540032,2590656,2638319,2684362,2725199,2756420,2786359,2824068,2868891,2920886,2980643,3042806,3095434,3127819,3141172,3143303,3142535,3147166,3160621,3185723,3219831,3250341,3268360,3281673,3299449,3316005,3333753,3397388,3481606,3532568,3573739,3620893,3673899,3728460,3775853,3810047,3833496,3855266,3889587,3948582,4019944,4081415,4132782,4179986,4221495,4260235,4302884,4346345,4381274,4410285,4450641,4514198,4590591,4668088,4746253,4838528,4959033,5061130,5129730
Nicaragua,,,298221,301953,305119,307703,310307,312930,315574,318238,320922,323626,326352,329098,331865,334653,337462,340293,343145,346019,348914,352249,356033,360276,364991,370188,375457,380798,386213,391703,397268,402910,408630,414428,420306,426265,432306,438430,444638,450932,457312,463779,470335,476981,483719,490549,497472,504490,511605,518817,526128,533858,542021,550628,559691,569224,578917,588771,598790,608976,619333,629867,640581,651479,662564,673838,685301,696955,708804,720851,731461,740926,749222,756323,762204,766839,771502,776193,780913,785662,790439,797494,806886,818675,832923,849692,866799,884251,902054,920215,938742,959251,981826,1006557,1033536,1062857,1093009,1124017,1155905,1188697,1222419,1257828,1330447,1369717,1409854,1451491,1494687,1539557,1586177,1634515,1684597,1736403,1789695,1844635,1901456,1960158,2020948,2084104,2150006,2219007,2291304,2366638,2444776,2525485,2603188,2682751,2769211,2857464,2947459,3038689,3128550,3214316,3303310,3397663,3491908,3584608,3674509,3763036,3852022,3941466,4033290,4129449,4227824,4327293,4427177,4526690,4625260,4721932,4812391,4895964,4974551,5049885,5123223,5192765,5259017,5323064,5386220,5454680,5529811,5607460,5687752,5770649,5855736,5942554,6030605,6119377,6208680,6298610,6389237,6480534,6572234,6663919,6755900,6850546
Niger,Africa,,998548,1001752,1004962,1009184,1013418,1017666,1021926,1026199,1030486,1034992,1039722,1044676,1049859,1055272,1060707,1066166,1071648,1077153,1082682,1088452,1094468,1100731,1107245,1114013,1120817,1127658,1134536,1141450,1148402,1155391,1162418,1169483,1176585,1183725,1190904,1198121,1205377,1212672,1220006,1227379,1234792,1242244,1249736,1257269,1264841,1272454,1280108,1287802,1295538,1305147,1316667,1330139,1345601,1363095,1380811,1398752,1416920,1435319,1453951,1471926,1489224,1505827,1521714,1536864,1552160,1567602,1583191,1598930,1611722,1626580,1643551,1662677,1684005,1707581,1731487,1755728,1780308,1805232,1830505,1855756,1880979,1906169,1931320,1956427,1981861,2007625,2033724,2060163,2086945,2115788,2146748,2179883,2215250,2252909,2291209,2330159,2369772,2410058,2451029,2500773,2569201,2659702,2749574,2838986,2928436,3018553,3109795,3202653,3297847,3395951,3497438,3602538,3711068,3822703,3937013,4053531,4172506,4294286,4417957,4542998,4669707,4797069,4926325,5059388,5196585,5339497,5488666,5644706,5810358,5987157,6173179,6366270,6564456,6766616,6973850,7187622,7408370,7636591,7872257,8116080,8370650,8634640,8907642,9193081,9493322,9813920,10149939,10494203,10854919,11231469,11622673,12031431,12456520,12900793,13366889,13855225,14365171,14897877,15455181,16037917,16647545,17283118,17954410,18653204,19372012,20128132,20921748,21737924,22577060,23443400,24333644,25252722
Nigeria,Africa,https://public.flourish.studio/country-flags/svg/ng.svg,13540231,13614323,13689008,13764288,13839944,13915978,13992391,14069186,14146364,14225146,14305550,14387593,14471293,14556669,14642510,14728818,14815596,14902846,14990570,15081924,15176955,15275711,15378242,15484597,15591647,15699396,15807850,15917013,16026889,16140850,16258955,16381265,16507842,16638746,16770647,16903552,17037467,17172401,17308361,17442710,17575410,17706426,17835719,17963253,18091655,18220932,18351088,18482129,18614062,18760173,18920724,19095983,19286218,19491702,19699330,19909123,20121103,20335293,20551716,20770736,20992384,21216691,21443690,21673412,21905544,22140113,22377144,22616661,22824503,23065640,23340876,23651034,23996951,24379480,24768107,25162929,25564045,25971555,26385560,26800741,27217036,27634378,28052702,28471939,28897441,29329302,29767617,30212483,30663997,31141557,31645899,32177777,32737963,33327247,33927137,34537826,35159507,35792378,36436641,37125255,37189376,37903172,38624424,39347724,40082480,40839224,41616580,42413364,43214756,44044232,44928336,45855508,46821856,47822572,48856336,49925800,51020304,52106684,53210124,54360756,55569268,56837616,58173832,59605448,61157940,62851316,64658312,66589656,68633344,70750312,72951440,75175392,77388072,79351592,81337552,83585256,85804192,88044192,90351464,92744064,95214256,97685360,100182048,102775472,105456120,108187616,110956184,113791184,116690528,119695568,122851984,126152680,129583032,133119808,136756848,140490720,144329760,148294032,152382512,156595744,160952864,165463744,170075936,174726128,179379024,183995776,188666928,193495904,198387616,203304496,208327408,213401328
North Korea,Asia,,4443855,4455054,4466267,4477494,4488736,4499992,4511262,4522547,4533846,4545160,4556488,4567831,4579188,4590559,4601945,4613345,4624760,4636190,4647634,4660309,4674224,4689391,4705817,4723514,4741263,4759066,4776921,4794830,4812792,4830808,4848877,4867001,4885178,4903410,4921695,4940036,4958430,4976880,4995385,5013944,5032559,5051229,5069954,5088735,5107572,5126465,5145414,5164419,5183480,5202598,5221773,5241005,5260293,5279639,5299042,5318502,5338020,5357596,5377230,5412683,5464327,5532540,5617705,5720215,5824581,5930837,6039015,6149151,6251396,6355340,6461013,6568443,6677659,6788691,6901569,7016324,7132987,7251590,7372165,7494745,7619363,7746053,7874849,8005787,8138903,8274231,8411810,8551677,8693869,8838425,8985385,9134788,9286676,9441089,9598070,9757660,9919905,10084847,10252531,10407524,11103386,10557969,10228064,10147606,10206243,10360274,10552186,10802110,11106861,11391383,11655668,11916512,12180506,12475236,12787529,13105948,13444052,13821411,14216305,14605482,14996881,15381625,15768368,16128127,16437012,16723254,16987170,17231392,17472096,17719176,17973654,18235208,18502090,18771366,19045158,19325494,19613038,19903900,20197470,20494968,20799522,21115534,21439992,21773020,22105230,22385538,22614348,22827378,23023642,23204504,23367064,23512524,23638414,23781706,23948936,24100980,24235764,24356508,24469050,24581508,24686436,24783790,24887770,25001824,25126140,25258012,25389614,25516318,25638152,25755442,25867474,25971910
